"項目名","必須","型","許容値","説明"
"候補ID","必須","文字列","","安定した候補ID。エクスポージャー×取引手段×Broker/Venue。"
"エクスポージャーID","必須","文字列","","安定したエクスポージャーID。"
"取引手段ID","必須","文字列","","安定した取引手段ID。"
"エクスポージャー名_日本語","必須","文字列","","日本語名。"
"資産クラス","必須","列挙","株価指数;金利・債券;為替;エネルギー;金属;穀物・油糧種子;ソフトコモディティ;畜産;ボラティリティ;暗号資産;不動産;環境・電力","資産分類。"
"取引手段種別","必須","列挙","標準先物;ミニ先物;マイクロ先物;暗号資産先物;ETF;ETN;CFD;スポットFX","取引手段分類。"
"シンボル","必須","文字列","","取引所またはBrokerシンボル。"
"Broker","必須","文字列","","Broker名または候補Broker。"
"Gate状態","任意","列挙","通過;不通過;条件付き;証拠不足;研究のみ","Hard Gate状態。"


