"候補ID","エクスポージャーID","取引手段ID","エクスポージャー名_日本語","エクスポージャー名_英語","資産クラス","リスク群","取引手段種別","シンボル","取引所またはVenue","Broker","Long可否","Short可否","API発注可否","API口座照会可否","日本居住者利用可否","取引時間","ティックサイズ","契約倍率","最小数量","受渡リスク","当初証拠金円","維持証拠金円","分足データ可否","リアルタイムデータ可否","証拠信頼度","証拠ID一覧","Gate状態","Gate理由","選定状態","レビューメモ","作成日時","更新日時"
"CAN-EXP-EQ-US-SP500-ES-IBSJ","EXP-EQ-US-SP500","VEH-ES","米国大型株指数","S&P 500","株価指数","再構成リスク群","標準先物","ES","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-US-SP500-MES-IBSJ","EXP-EQ-US-SP500","VEH-MES","米国大型株指数","S&P 500","株価指数","再構成リスク群","マイクロ先物","MES","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-US-NASDAQ100-NQ-IBSJ","EXP-EQ-US-NASDAQ100","VEH-NQ","米国ナスダック100指数","Nasdaq 100","株価指数","再構成リスク群","標準先物","NQ","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-US-NASDAQ100-MNQ-IBSJ","EXP-EQ-US-NASDAQ100","VEH-MNQ","米国ナスダック100指数","Nasdaq 100","株価指数","再構成リスク群","マイクロ先物","MNQ","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-US-DOW-YM-IBSJ","EXP-EQ-US-DOW","VEH-YM","米国ダウ工業株指数","Dow Jones","株価指数","再構成リスク群","標準先物","YM","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-US-DOW-MYM-IBSJ","EXP-EQ-US-DOW","VEH-MYM","米国ダウ工業株指数","Dow Jones","株価指数","再構成リスク群","マイクロ先物","MYM","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-US-RUSSELL2000-RTY-IBSJ","EXP-EQ-US-RUSSELL2000","VEH-RTY","米国小型株指数","Russell 2000","株価指数","再構成リスク群","標準先物","RTY","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-US-RUSSELL2000-M2K-IBSJ","EXP-EQ-US-RUSSELL2000","VEH-M2K","米国小型株指数","Russell 2000","株価指数","再構成リスク群","マイクロ先物","M2K","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-JP-NIKKEI225-NK225L-IBSJ","EXP-EQ-JP-NIKKEI225","VEH-NK225L","日経225","Nikkei 225","株価指数","再構成リスク群","標準先物","NK225L","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-JP-NIKKEI225-NK225M-IBSJ","EXP-EQ-JP-NIKKEI225","VEH-NK225M","日経225","Nikkei 225","株価指数","再構成リスク群","ミニ先物","NK225M","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-JP-NIKKEI225-NK225MC-IBSJ","EXP-EQ-JP-NIKKEI225","VEH-NK225MC","日経225","Nikkei 225","株価指数","再構成リスク群","マイクロ先物","NK225MC","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-EQ-JP-TOPIX-TOPIX-IBSJ","EXP-EQ-JP-TOPIX","VEH-TOPIX","TOPIX","TOPIX","株価指数","再構成リスク群","標準先物","TOPIX","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
