"エクスポージャー群ID","正規エクスポージャーID","元エクスポージャーID","候補ID","取引手段ID","エクスポージャー名_日本語","エクスポージャー名_英語","資産クラス","リスク群","代替グループID","直接または代替","代替関係","取引手段種別","シンボル","取引所またはVenue","Broker","Gate状態","証拠信頼度","証拠ID一覧","取引手段差分メモ","P06追跡メモ","作成日時","更新日時"
"CLU-EXP-EQ-US-SP500","EXP-EQ-US-SP500","EXP-EQ-US-SP500","CAN-EXP-EQ-US-SP500-ES-IBSJ","VEH-ES","米国大型株指数","S&P 500","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","ES","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-US-SP500","EXP-EQ-US-SP500","EXP-EQ-US-SP500","CAN-EXP-EQ-US-SP500-MES-IBSJ","VEH-MES","米国大型株指数","S&P 500","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","MES","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-US-NASDAQ100","EXP-EQ-US-NASDAQ100","EXP-EQ-US-NASDAQ100","CAN-EXP-EQ-US-NASDAQ100-NQ-IBSJ","VEH-NQ","米国ナスダック100指数","Nasdaq 100","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","NQ","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-US-NASDAQ100","EXP-EQ-US-NASDAQ100","EXP-EQ-US-NASDAQ100","CAN-EXP-EQ-US-NASDAQ100-MNQ-IBSJ","VEH-MNQ","米国ナスダック100指数","Nasdaq 100","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","MNQ","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-US-DOW","EXP-EQ-US-DOW","EXP-EQ-US-DOW","CAN-EXP-EQ-US-DOW-YM-IBSJ","VEH-YM","米国ダウ工業株指数","Dow Jones","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","YM","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-US-DOW","EXP-EQ-US-DOW","EXP-EQ-US-DOW","CAN-EXP-EQ-US-DOW-MYM-IBSJ","VEH-MYM","米国ダウ工業株指数","Dow Jones","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","MYM","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-US-RUSSELL2000","EXP-EQ-US-RUSSELL2000","EXP-EQ-US-RUSSELL2000","CAN-EXP-EQ-US-RUSSELL2000-RTY-IBSJ","VEH-RTY","米国小型株指数","Russell 2000","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","RTY","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-US-RUSSELL2000","EXP-EQ-US-RUSSELL2000","EXP-EQ-US-RUSSELL2000","CAN-EXP-EQ-US-RUSSELL2000-M2K-IBSJ","VEH-M2K","米国小型株指数","Russell 2000","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","M2K","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-JP-NIKKEI225","EXP-EQ-JP-NIKKEI225","EXP-EQ-JP-NIKKEI225","CAN-EXP-EQ-JP-NIKKEI225-NK225L-IBSJ","VEH-NK225L","日経225","Nikkei 225","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","NK225L","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-JP-NIKKEI225","EXP-EQ-JP-NIKKEI225","EXP-EQ-JP-NIKKEI225","CAN-EXP-EQ-JP-NIKKEI225-NK225M-IBSJ","VEH-NK225M","日経225","Nikkei 225","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","ミニ先物","NK225M","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
