ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,trading_reference_price,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,trading_reference_date,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,md_security_trading_status,main_fraction,price_display_format,settl_price_type,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,symbol
2025-02-24 00:00:00+00:00,2025-02-23 12:03:29.404000+00:00,19,1,42003702,MZCH6,A,F,0.5,1.0,2026-02-20 18:01:00+00:00,2025-02-21 22:30:00+00:00,516.0,456.0,10.0,486.0,500.0,2.5,,794703,0,42003702,2,10,70,1999,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2026,65535,15,USD,,,ZC,XCBT,MZC,FCAXSX,FUT,BU,,,,K,255,255,255,7,255,2,3,255,255,N,127,127,255,MZCH6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:31.504000+00:00,19,1,42074729,MZCK6-MZCZ6,A,S,0.5,1.0,2026-04-24 17:01:00+00:00,2025-02-21 22:30:00+00:00,82.5,-37.5,2.5,22.5,,,,795723,0,42074729,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2026,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,5,255,255,N,127,127,255,MZCK6-MZCZ6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:31.354000+00:00,19,1,42062130,MZCK6-MZCU6,A,S,0.5,1.0,2026-04-24 17:01:00+00:00,2025-02-21 22:30:00+00:00,81.0,-39.0,2.5,21.0,,,,795723,0,42062130,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2026,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,5,255,255,N,127,127,255,MZCK6-MZCU6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:30.454000+00:00,19,1,42074727,MZCZ5-MZCH6,A,S,0.5,1.0,2025-11-21 18:01:00+00:00,2025-02-21 22:30:00+00:00,49.0,-71.0,2.5,-11.0,,,,795723,0,42074727,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,12,255,255,N,127,127,255,MZCZ5-MZCH6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:30.404000+00:00,19,1,42074726,MZCN5-MZCZ6,A,S,0.5,1.0,2025-06-20 17:01:00+00:00,2025-02-21 22:30:00+00:00,100.0,-20.0,2.5,40.0,,,,795723,0,42074726,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,7,255,255,N,127,127,255,MZCN5-MZCZ6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:29.854000+00:00,19,1,42062115,MZCU5-MZCH6,A,S,0.5,1.0,2025-08-22 17:01:00+00:00,2025-02-21 22:30:00+00:00,51.5,-68.5,2.5,-8.5,,,,795723,0,42062115,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,9,255,255,N,127,127,255,MZCU5-MZCH6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:29.454000+00:00,19,1,42004143,MZCN6,A,F,0.5,1.0,2026-06-26 17:01:00+00:00,2025-02-21 22:30:00+00:00,523.5,464.0,10.0,494.0,500.0,2.5,,794703,0,42004143,2,10,70,1999,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2026,65535,15,USD,,,ZC,XCBT,MZC,FCAXSX,FUT,BU,,,,K,255,255,255,7,255,2,7,255,255,N,127,127,255,MZCN6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:30.604000+00:00,19,1,42081357,MZCK5-MZCH6,A,S,0.5,1.0,2025-04-25 17:01:00+00:00,2025-02-21 22:30:00+00:00,79.0,-41.0,2.5,19.0,,,,795723,0,42081357,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,5,255,255,N,127,127,255,MZCK5-MZCH6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:30.854000+00:00,19,1,42040615,MZCN6-MZCU6,A,S,0.5,1.0,2026-06-26 17:01:00+00:00,2025-02-21 22:30:00+00:00,83.0,-37.0,2.5,23.0,,,,795723,0,42040615,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2026,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,7,255,255,N,127,127,255,MZCN6-MZCU6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:30.604000+00:00,19,1,42062122,MZCZ5-MZCZ6,A,S,0.5,1.0,2025-11-21 18:01:00+00:00,2025-02-21 22:30:00+00:00,65.5,-54.5,2.5,5.5,,,,795723,0,42062122,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,12,255,255,N,127,127,255,MZCZ5-MZCZ6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:30.204000+00:00,19,1,42040613,MZCK5-MZCN6,A,S,0.5,1.0,2025-04-25 17:01:00+00:00,2025-02-21 22:30:00+00:00,71.5,-48.5,2.5,11.5,,,,795723,0,42040613,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,5,255,255,N,127,127,255,MZCK5-MZCN6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:30.254000+00:00,19,1,42062120,MZCU5-MZCU6,A,S,0.5,1.0,2025-08-22 17:01:00+00:00,2025-02-21 22:30:00+00:00,67.0,-53.0,2.5,7.0,,,,795723,0,42062120,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,9,255,255,N,127,127,255,MZCU5-MZCU6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:31.654000+00:00,19,1,42062119,MZCU5-MZCN6,A,S,0.5,1.0,2025-08-22 17:01:00+00:00,2025-02-21 22:30:00+00:00,43.5,-76.5,2.5,-16.5,,,,795723,0,42062119,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,9,255,255,N,127,127,255,MZCU5-MZCN6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:29.704000+00:00,19,1,42062118,MZCU5-MZCK6,A,S,0.5,1.0,2025-08-22 17:01:00+00:00,2025-02-21 22:30:00+00:00,45.5,-74.5,2.5,-14.5,,,,795723,0,42062118,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,9,255,255,N,127,127,255,MZCU5-MZCK6
2025-02-24 00:00:00+00:00,2025-02-23 12:03:30.154000+00:00,19,1,42081435,MZCK5-MZCK6,A,S,0.5,1.0,2025-04-25 17:01:00+00:00,2025-02-21 22:30:00+00:00,73.5,-46.5,2.5,13.5,,,,795723,0,42081435,2,10,70,10000,0,0,0,1,2147483647,2147483647,2147483647,20140,340,2025,65535,15,USD,,SP,ZC,XCBT,MZC,FMAXSX,FUT,BU,,,,K,255,255,255,3,255,2,5,255,255,N,127,127,255,MZCK5-MZCK6
