"P11順位","候補ID","正規エクスポージャーID","エクスポージャー名_日本語","エクスポージャー名_英語","資産クラス","取引手段種別","元シンボル","P11採用シンボル","取引所またはVenue","Broker","P08構造スコア","P08優先度","採点確信度","初期候補フラグ","P10確認状態","P10データ注意","P11判定理由","P12で確認する証拠"
"1","CAN-EXP-ENERGY-US-WTI-MCL-IBSJ","EXP-ENERGY-US-WTI","WTI原油","WTI Crude Oil","エネルギー","マイクロ先物","MCL","MCL","NYMEX","Interactive Brokers Securities Japan Inc.","91","優先A","中","はい","P10実データ確認済み","2015-01-01から2026-08-01まで取得。代表限月系列作成済み。一部degraded日あり。","構造スコア首位。マイクロ先物で小口資金適合性が高く、エネルギーExposureとして分散価値も高い。","日本居住者の銘柄単位取引可否;現行証拠金;契約倍率;最小数量;出来高;スプレッド;ロール仕様"
"2","CAN-EXP-AGRI-US-CORN-XC-IBSJ","EXP-AGRI-US-CORN","とうもろこし","Corn","穀物・油糧種子","マイクロ先物","XC","MZC","CBOT","Interactive Brokers Securities Japan Inc.","90","優先A","中","はい","P10実データ確認済み","DatabentoではMZCとして取得。2025-02-24から2026-08-01まで取得。履歴期間が短い。一部degraded日あり。","穀物Exposureとして分散価値が高い。マイクロ先物候補だが履歴と流動性は要重点確認。","正式シンボル;日本居住者の銘柄単位取引可否;現行証拠金;最小数量;出来高;スプレッド;履歴データ補完可否"
"3","CAN-EXP-AGRI-US-SOYBEANS-XK-IBSJ","EXP-AGRI-US-SOYBEANS","大豆","Soybeans","穀物・油糧種子","マイクロ先物","XK","MZS","CBOT","Interactive Brokers Securities Japan Inc.","90","優先A","中","はい","P10実データ確認済み","DatabentoではMZSとして取得。2025-02-24から2026-08-01まで取得。履歴期間が短い。一部degraded日あり。","穀物・油糧種子Exposureとして分散価値が高い。マイクロ先物候補だが履歴と流動性は要重点確認。","正式シンボル;日本居住者の銘柄単位取引可否;現行証拠金;最小数量;出来高;スプレッド;履歴データ補完可否"
"4","CAN-EXP-AGRI-US-WHEAT-XW-IBSJ","EXP-AGRI-US-WHEAT","小麦","Wheat","穀物・油糧種子","マイクロ先物","XW","MZW","CBOT","Interactive Brokers Securities Japan Inc.","90","優先A","中","はい","P10実データ確認済み","DatabentoではMZWとして取得。2025-02-24から2026-08-01まで取得。履歴期間が短い。一部degraded日あり。","穀物Exposureとして分散価値が高い。マイクロ先物候補だが履歴と流動性は要重点確認。","正式シンボル;日本居住者の銘柄単位取引可否;現行証拠金;最小数量;出来高;スプレッド;履歴データ補完可否"
"5","CAN-EXP-FX-G10-AUDUSD-M6A-IBSJ","EXP-FX-G10-AUDUSD","豪ドル米ドル","AUD/USD","為替","マイクロ先物","M6A","M6A","CME","Interactive Brokers Securities Japan Inc.","89","優先A","中","はい","P10実データ確認済み","2015-01-01から2026-08-01まで取得。代表限月系列作成済み。一部degraded日あり。","為替Exposureのマイクロ先物。データ期間が長く、初期検証候補として扱いやすい。","日本居住者の銘柄単位取引可否;現行証拠金;契約倍率;最小数量;出来高;スプレッド;ロール仕様"
"6","CAN-EXP-FX-G10-EURUSD-M6E-IBSJ","EXP-FX-G10-EURUSD","ユーロ米ドル","EUR/USD","為替","マイクロ先物","M6E","M6E","CME","Interactive Brokers Securities Japan Inc.","89","優先A","中","いいえ","P10未確認","P10では未取得。","主要G10為替Exposure。マイクロ先物で小口資金適合性が高い。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
"7","CAN-EXP-FX-G10-GBPUSD-M6B-IBSJ","EXP-FX-G10-GBPUSD","英ポンド米ドル","GBP/USD","為替","マイクロ先物","M6B","M6B","CME","Interactive Brokers Securities Japan Inc.","89","優先A","中","いいえ","P10未確認","P10では未取得。","主要G10為替Exposure。マイクロ先物で小口資金適合性が高い。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
"8","CAN-EXP-FX-G10-USDJPY-MJY-IBSJ","EXP-FX-G10-USDJPY","米ドル円","USD/JPY","為替","マイクロ先物","MJY","MJY","CME","Interactive Brokers Securities Japan Inc.","89","優先A","中","いいえ","P10未確認","P10では未取得。","日本在住者にとって為替リスクの理解がしやすいExposure。マイクロ先物で小口資金適合性が高い。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
"9","CAN-EXP-METAL-GLOBAL-COPPER-MHG-IBSJ","EXP-METAL-GLOBAL-COPPER","銅","Copper","金属","マイクロ先物","MHG","MHG","COMEX","Interactive Brokers Securities Japan Inc.","89","優先A","中","いいえ","P10未確認","P10では未取得。","景気循環・実需系金属Exposureとして分散価値が高い。マイクロ先物で小口資金適合性が高い。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
"10","CAN-EXP-METAL-GLOBAL-GOLD-MGC-IBSJ","EXP-METAL-GLOBAL-GOLD","金","Gold","金属","マイクロ先物","MGC","MGC","COMEX","Interactive Brokers Securities Japan Inc.","89","優先A","中","いいえ","P10未確認","P10では未取得。","貴金属Exposure。危機局面や金融環境変化への分散候補として保持する。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
