"P11順位","シンボル","エクスポージャー名_日本語","資産クラス","取引手段種別","P12監査判定","重大度","主な監査コメント","P13での扱い案","追加確認事項"
"1","MCL","WTI原油","エネルギー","マイクロ先物","Pass暫定","中","CME公式でMCLの実在性と契約仕様を確認可能。P10で長期1分足取得と代表限月系列作成済み。ただしIBKR/IBSJでの銘柄単位取引可否、現行証拠金、ロール運用は未確定。","初期候補として維持","IBKR/IBSJ銘柄検索;現行証拠金;契約倍率;最小数量;スプレッド;最終取引日;ロールルール"
"2","MZC","とうもろこし","穀物・油糧種子","マイクロ先物","重大Pending","高","P08の元シンボルXCをP10でMZCに補正。CMEのMicro Ag商品群として実在性は高いが、P10取得履歴が2025-02-24以降で短い。出来高・スプレッド・IBKR/IBSJ取扱の確認が必須。","初期候補だがP13では条件付き維持","正式契約仕様;IBKR/IBSJ取扱;現行証拠金;出来高;スプレッド;データ履歴補完;ZCとの比較"
"3","MZS","大豆","穀物・油糧種子","マイクロ先物","重大Pending","高","P08の元シンボルXKをP10でMZSに補正。P10取得履歴が短く、流動性とデータ履歴の検証が不足。","初期候補だがP13では条件付き維持","正式契約仕様;IBKR/IBSJ取扱;現行証拠金;出来高;スプレッド;データ履歴補完;ZSとの比較"
"4","MZW","小麦","穀物・油糧種子","マイクロ先物","重大Pending","高","P08の元シンボルXWをP10でMZWに補正。P10取得履歴が短く、代表系列行数も初期5件中で少ない。","初期候補だがP13では条件付き維持","正式契約仕様;IBKR/IBSJ取扱;現行証拠金;出来高;スプレッド;データ履歴補完;ZWとの比較"
"5","M6A","豪ドル米ドル","為替","マイクロ先物","Pass暫定","中","CME公式でMicro FX商品群として実在性を確認可能。P10で長期1分足取得と代表限月系列作成済み。ただしPhysical settlementとロール・満期管理に注意。","初期候補として維持","IBKR/IBSJ取扱;現行証拠金;契約倍率;最小数量;スプレッド;最終取引日;ロールルール"
"6","M6E","ユーロ米ドル","為替","マイクロ先物","Pending","中","CME公式でMicro FX商品群として実在性を確認可能。P10では未取得。Physical settlementと満期管理に注意。","最終30件に維持","Databento取得可否;IBKR/IBSJ取扱;証拠金;スプレッド;満期前自動ロール設計"
"7","M6B","英ポンド米ドル","為替","マイクロ先物","Pending","中","CME公式でMicro FX商品群として実在性を確認可能。P10では未取得。Physical settlementと満期管理に注意。","最終30件に維持","Databento取得可否;IBKR/IBSJ取扱;証拠金;スプレッド;満期前自動ロール設計"
"8","MJY","米ドル円","為替","マイクロ先物","Pending","中","CME公式でMicro FX商品群として実在性を確認可能。P10では未取得。JPY系は価格表記・損益通貨・N計算の実装注意がある。","最終30件に維持","Databento取得可否;IBKR/IBSJ取扱;証拠金;価格表記;N計算;満期前自動ロール設計"
"9","MHG","銅","金属","マイクロ先物","Pending","中","CME公式でMicro Copperの実在性を確認可能。P10では未取得。産業金属Exposureとして有用だが、出来高・スプレッドを要確認。","最終30件に維持","Databento取得可否;IBKR/IBSJ取扱;証拠金;出来高;スプレッド;ロール"
"10","MGC","金","金属","マイクロ先物","Pending","中","CME公式でMicro Goldの実在性を確認可能。P10では未取得。金は分散価値が高いが、MGC/GCどちらをPrimaryにするか要比較。","最終30件に維持","Databento取得可否;IBKR/IBSJ取扱;証拠金;出来高;スプレッド;GCとの比較"
"11","SIL","銀","金属","マイクロ先物","Pending","中","銀の小口候補として有用だが、P12時点で公式契約仕様・IBKR/IBSJ銘柄単位確認が不足。","最終30件に維持","公式契約仕様;Databento取得可否;IBKR/IBSJ取扱;証拠金;出来高;スプレッド;SIとの比較"
"12","MYM","米国ダウ工業株指数","株価指数","マイクロ先物","注意","中","CME公式でMicro E-mini商品群として実在性を確認可能。株価指数同士の相関が高く、MYM/MNQ/M2K/MESを全て初期採用すると分散過大評価になりやすい。","最終30件に維持するが初期候補化は慎重","Databento取得可否;IBKR/IBSJ取扱;証拠金;相関;MES/MNQ/M2Kとの重複"
"13","MNQ","米国ナスダック100指数","株価指数","マイクロ先物","注意","中","CME公式でMicro E-mini商品群として実在性を確認可能。米国株指数グループ内の相関集中に注意。","最終30件に維持するが初期候補化は慎重","Databento取得可否;IBKR/IBSJ取扱;証拠金;相関;MES/MYM/M2Kとの重複"
"14","M2K","米国小型株指数","株価指数","マイクロ先物","注意","中","CME公式でMicro E-mini商品群として実在性を確認可能。Russell 2000は米国株内でやや差別化されるが、株価指数集中には注意。","最終30件に維持するが初期候補化は慎重","Databento取得可否;IBKR/IBSJ取扱;証拠金;相関;MES/MNQ/MYMとの重複"
"15","MES","米国大型株指数","株価指数","マイクロ先物","注意","中","CME公式でMicro E-mini商品群として実在性を確認可能。流動性は期待しやすいが、米国株指数への集中を招きやすい。","最終30件に維持するが初期候補化は慎重","Databento取得可否;IBKR/IBSJ取扱;証拠金;相関;MNQ/MYM/M2Kとの重複"
"16","CL","WTI原油","エネルギー","標準先物","注意","中","CME公式でCLは主要WTI原油先物として確認可能。MCLのFallbackとして有用だが、標準先物は小口資金適合性が低い。","Fallback候補として維持","IBKR/IBSJ取扱;証拠金;契約倍率;MCLとのPrimary/Fallback判断"
"17","ZC","とうもろこし","穀物・油糧種子","標準先物","注意","中","MZCのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","公式契約仕様;IBKR/IBSJ取扱;証拠金;MZCとの比較"
"18","ZS","大豆","穀物・油糧種子","標準先物","注意","中","MZSのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","公式契約仕様;IBKR/IBSJ取扱;証拠金;MZSとの比較"
"19","ZW","小麦","穀物・油糧種子","標準先物","注意","中","MZWのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","公式契約仕様;IBKR/IBSJ取扱;証拠金;MZWとの比較"
"20","6A","豪ドル米ドル","為替","標準先物","注意","中","M6AのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","IBKR/IBSJ取扱;証拠金;M6Aとの比較;満期管理"
"21","6E","ユーロ米ドル","為替","標準先物","注意","中","M6EのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","IBKR/IBSJ取扱;証拠金;M6Eとの比較;満期管理"
"22","6B","英ポンド米ドル","為替","標準先物","注意","中","M6BのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","IBKR/IBSJ取扱;証拠金;M6Bとの比較;満期管理"
"23","6J","米ドル円","為替","標準先物","注意","中","MJYのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","IBKR/IBSJ取扱;証拠金;MJYとの比較;価格表記;満期管理"
"24","HG","銅","金属","標準先物","注意","中","MHGのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","IBKR/IBSJ取扱;証拠金;MHGとの比較;流動性"
"25","GC","金","金属","標準先物","注意","中","MGCのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","IBKR/IBSJ取扱;証拠金;MGCとの比較;流動性"
"26","SI","銀","金属","標準先物","注意","中","SILのFallback候補。標準先物のため小口資金適合性が低い可能性がある。","Fallback候補として維持","IBKR/IBSJ取扱;証拠金;SILとの比較;流動性"
"27","BTC","ビットコイン","暗号資産","暗号資産先物","Fail候補","高","IBKR公式情報に日本居住者アカウントはBitcoin tradingにeligibleでない旨の記載がある。CME商品としての実在性とは別に、Broker/居住地Gateで重大リスク。","P13では原則除外または別Broker調査へ分離","IBKR/IBSJでのBTC futures取扱可否;日本居住者制限;代替Broker;規制・税務"
"28","MBT","ビットコイン","暗号資産","暗号資産先物","Fail候補","高","CME公式でMicro Bitcoin futuresは実在するが、IBKR公式情報の日本居住者Bitcoin trading制限と衝突する可能性が高い。","P13では原則除外または別Broker調査へ分離","IBKR/IBSJでのMBT取扱可否;日本居住者制限;代替Broker;規制・税務"
"29","ETH","イーサリアム","暗号資産","暗号資産先物","重大Pending","高","CME商品としてEther futuresは実在するが、日本居住者のIBKR/IBSJ取扱可否は未確定。Bitcoin制限から暗号資産先物全般に制約がある可能性を疑う。","P13では原則保留または別Broker調査へ分離","IBKR/IBSJでのETH futures取扱可否;日本居住者制限;代替Broker;規制・税務"
"30","MET","イーサリアム","暗号資産","暗号資産先物","重大Pending","高","CME公式でMicro Ether futuresは実在するが、日本居住者のIBKR/IBSJ取扱可否は未確定。Bitcoin制限から暗号資産先物全般に制約がある可能性を疑う。","P13では原則保留または別Broker調査へ分離","IBKR/IBSJでのMET取扱可否;日本居住者制限;代替Broker;規制・税務"

