"P13順位","シンボル","元シンボル","エクスポージャー名_日本語","資産クラス","取引手段種別","取引所またはVenue","P08構造スコア","P12監査判定","P13分類","初期検証フラグ","P13判定理由","次フェーズ必須確認"
"1","MCL","MCL","WTI原油","エネルギー","マイクロ先物","NYMEX","91","Pass暫定","初期検証候補_本線","はい","構造スコア首位。P10で長期データ取得済み。エネルギーExposureとして分散価値が高い。","IBKR/IBSJ銘柄単位取扱;現行証拠金;最小数量;出来高;スプレッド;ロール仕様"
"2","M6A","M6A","豪ドル米ドル","為替","マイクロ先物","CME","89","Pass暫定","初期検証候補_本線","はい","P10で長期データ取得済み。為替Exposureとして扱いやすく、小口資金適合性が高い。","IBKR/IBSJ銘柄単位取扱;現行証拠金;最小数量;満期管理;ロール仕様"
"3","MZC","XC","とうもろこし","穀物・油糧種子","マイクロ先物","CBOT","90","重大Pending","初期検証候補_条件付き","はい","穀物Exposureとして分散価値が高いが、履歴期間と流動性が未確定。P08のXCをMZCへ補正済み。","正式シンボル;IBKR/IBSJ取扱;証拠金;出来高;スプレッド;履歴データ補完;ZCとの比較"
"4","MZS","XK","大豆","穀物・油糧種子","マイクロ先物","CBOT","90","重大Pending","初期検証候補_条件付き","はい","穀物・油糧種子Exposureとして分散価値が高いが、履歴期間と流動性が未確定。P08のXKをMZSへ補正済み。","正式シンボル;IBKR/IBSJ取扱;証拠金;出来高;スプレッド;履歴データ補完;ZSとの比較"
"5","MZW","XW","小麦","穀物・油糧種子","マイクロ先物","CBOT","90","重大Pending","初期検証候補_条件付き","はい","穀物Exposureとして分散価値が高いが、履歴期間と流動性が未確定。P08のXWをMZWへ補正済み。","正式シンボル;IBKR/IBSJ取扱;証拠金;出来高;スプレッド;履歴データ補完;ZWとの比較"
"6","M6E","M6E","ユーロ米ドル","為替","マイクロ先物","CME","89","Pending","追加調査候補","いいえ","主要G10為替Exposure。M6Aに続く為替分散候補。","Databento取得可否;IBKR/IBSJ取扱;証拠金;満期管理"
"7","M6B","M6B","英ポンド米ドル","為替","マイクロ先物","CME","89","Pending","追加調査候補","いいえ","主要G10為替Exposure。為替グループ内の追加候補。","Databento取得可否;IBKR/IBSJ取扱;証拠金;満期管理"
"8","MJY","MJY","米ドル円","為替","マイクロ先物","CME","89","Pending","追加調査候補","いいえ","日本居住者にとって理解しやすいUSD/JPY Exposure。価格表記とN計算に注意。","Databento取得可否;IBKR/IBSJ取扱;証拠金;価格表記;N計算"
"9","MHG","MHG","銅","金属","マイクロ先物","COMEX","89","Pending","追加調査候補","いいえ","景気循環・実需系金属Exposureとして分散価値が高い。","Databento取得可否;IBKR/IBSJ取扱;証拠金;出来高;スプレッド"
"10","MGC","MGC","金","金属","マイクロ先物","COMEX","89","Pending","追加調査候補","いいえ","貴金属Exposure。危機局面・金融環境変化への分散候補。","Databento取得可否;IBKR/IBSJ取扱;証拠金;GCとの比較"
