"情報源ID","URL","タイトル","発行者","種別","一次二次","確認日時","使用目的"
"SRC-CME-0001","https://www.cmegroup.com/markets/products","CME Group Product Slate","CME Group","取引所","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-CME-0002","https://www.cmegroup.com/markets/microsuite.html","CME Micro Products","CME Group","取引所","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-JPX-0001","https://www.jpx.co.jp/english/derivatives/products/list/","JPX Derivatives List of Products","Japan Exchange Group","取引所","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-ICE-0001","https://www.ice.com/futures-us","ICE Futures U.S.","ICE","取引所","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-EUREX-0001","https://www.eurex.com/ex-en/markets/productSearch","Eurex Product Search","Eurex","取引所","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-SGX-0001","https://www.sgx.com/derivatives/products/fx","SGX FX Products","SGX","取引所","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-CBOE-0001","https://www.cboe.com/tradable-products/vix/vix-futures/","Cboe VIX Futures","Cboe","取引所","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-IBSJ-0001","https://www.interactivebrokers.co.jp/en/trading/products-futures.php","IBSJ Futures Products","Interactive Brokers Securities Japan Inc.","Broker","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-IBKRAPI-0001","https://ibkrcampus.com/campus/ibkr-api-page/web-api-trading/","IBKR Web API Trading","IBKR Campus","Documentation","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-IBKRAPI-0002","https://ibkrcampus.com/campus/ibkr-api-page/market-data-subscriptions/","IBKR Market Data Subscriptions","IBKR Campus","Documentation","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-JPX-0002","https://www.jpx.co.jp/english/derivatives/rules/holidaytrading/index.html","JPX Holiday Trading","Japan Exchange Group","取引所","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-CME-0003","https://www.cmegroup.com/trading-hours.html","CME Trading Hours","CME Group","取引所","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
"SRC-NASDAQ-0001","https://www.nasdaq.com/solutions/nasdaq-commodities-data","Nasdaq Commodities Data","Nasdaq","Data Vendor","一次","2026-08-02T15:44:41.4491513+09:00","候補発見または公式証拠確認"
